Coalition,Size,RecomputedScore,ReferenceScore,ScoreError,RelError
"['El Salvador', 'Mali']",2,7311.0464958762805,7311.04649587628,9.094947017729282e-13,1.2440007080873021e-16
"['Congo, Republic of the', 'Monaco']",2,7030.509803921565,7030.509803921565,0.0,0.0
"['Cameroon', 'Switzerland']",2,9441.110286565909,9441.110286565909,0.0,0.0
"['Belarus', 'Guinea']",2,6302.074512971745,6302.074512971745,0.0,0.0
"['Malta', 'Tanzania']",2,6489.850857157523,6489.850857157523,0.0,0.0
"['Burundi', 'Greece']",2,6771.3179122425445,6771.3179122425445,0.0,0.0
"['Mongolia', 'Uruguay']",2,10022.65883020402,10022.65883020402,0.0,0.0
"['Cambodia', 'Chile']",2,7669.273169172954,7669.273169172954,0.0,0.0
"['Rwanda', 'Viet Nam']",2,6601.279022702866,6601.279022702866,0.0,0.0
"['Bahamas', 'Nicaragua']",2,5326.62256314755,5326.62256314755,0.0,0.0
"['Belgium', 'Equatorial Guinea']",2,6735.757591208243,6735.757591208243,0.0,0.0
"['Macedonia', 'New Zealand']",2,5740.14238014967,5740.14238014967,0.0,0.0
"['Barbados', 'Maldives']",2,9782.923803656455,9782.923803656457,-1.8189894035458565e-12,1.8593514986450087e-16
"['Papua New Guinea', 'Qatar']",2,5000.727219842404,5000.727219842404,0.0,0.0
"['Kiribati', 'Tanzania']",2,3971.267418535308,3971.267418535308,0.0,0.0
"['Saint Kitts and Nevis', 'Tanzania']",2,9219.072963288616,9219.072963288616,0.0,0.0
"['Ireland', 'San Marino']",2,5783.716859069293,5783.716859069293,0.0,0.0
"['Guinea-Bissau', 'Slovakia']",2,7703.506816635794,7703.506816635794,0.0,0.0
"['Burundi', 'Saint Lucia']",2,7341.737097145581,7341.737097145581,0.0,0.0
"['Finland', 'Tonga']",2,9563.504015748289,9563.504015748287,1.8189894035458565e-12,1.9020114390609487e-16
"['Singapore', 'Sudan']",2,6887.305231329227,6887.305231329227,0.0,0.0
"['Gambia', 'Kiribati']",2,3904.258064516133,3904.258064516133,0.0,0.0
"['Dominican Republic', 'Malta']",2,7996.495348079171,7996.495348079171,0.0,0.0
